productId,name,volume,quantityInBox,percentage,price,category,description,inStock,inSale,isNew,quantity,imageFile
,Lavish Absinthe Fruit Punch,0.25,24,,52.99,Lavish,,,,,,
,Lavish Absinthe Grape,0.25,24,,52.99,Lavish,,,,,,
,Lavish Absinthe Green Apple,0.25,24,,52.99,Lavish,,,,,,
,Lavish Absinthe Blue Raspberry,0.25,24,,52.99,Lavish,,,,,,
,Lavish Classic,0.25,24,,52.99,Lavish,,,,,,
,Lavish Mangotini,0.25,24,,58.99,Lavish,,,,,,
,Lavish Cosmopolitan,0.25,24,,58.99,Lavish,,,,,,
,Lavish Raspberry Guava,0.25,24,,58.99,Lavish,,,,,,
,Lavish Purple Grape,0.25,24,,58.99,Lavish,,,,,,
,Lavish Pineapple Colada,0.25,24,,58.99,Lavish,,,,,,
,Lavish Whiskey-Cola,0.25,24,,58.99,Lavish,,,,,,
,Lavish Gin Fizz,0.25,24,,58.99,Lavish,,,,,,
,Lavish Rum-Cola,0.25,24,,58.99,Lavish,,,,,,
,Lavish Ultra Strong,0.25,24,,66.99,Lavish,,,,,,
,Lavish Extreme,0.25,24,,79.99,Lavish,,,,,,
,Lavish Hemp Vodka,0.7,1,,21.45,Lavish,,,,,,
,Lavish Bubblegum Kush,0.7,1,,21.45,Lavish,,,,,,
,Lavish Vodka,0.7,1,,21.45,Lavish,,,,,,
,Johnnie Walker Red Label,0.2,1,,4.85,Whisky,,,,,,
,Johnnie Walker Red Label,0.35,1,,7.40,Whisky,,,,,,
,Johnnie Walker Red Label,0.7,1,,11.25,Whisky,,,,,,
,Johnnie Walker Red Label,1,1,,15.85,Whisky,,,,,,
,Johnnie Walker Black Label,0.2,1,,10.65,Whisky,,,,,,
,Johnnie Walker Black Label,0.35,1,,13.15,Whisky,,,,,,
,Johnnie Walker Black Label,0.7,1,,18.75,Whisky,,,,,,
,Johnnie Walker Black Label,1,1,,24.95,Whisky,,,,,,
,Jack Daniels,0.2,1,,7.55,Whisky,,,,,,
,Jack Daniels,0.35,1,,11.20,Whisky,,,,,,
,Jack Daniels,0.5,1,,14.30,Whisky,,,,,,
,Jack Daniels,0.7,1,,16.50,Whisky,,,,,,
,Jack Daniels,1,1,,21.95,Whisky,,,,,,
,Jack Daniels Honey,0.7,1,,17.10,Whisky,,,,,,
,Jack Daniels Honey,1,1,,22.50,Whisky,,,,,,
,Ballantines Finest,0.2,1,,5.70,Whisky,,,,,,
,Ballantines Finest,0.35,1,,9.85,Whisky,,,,,,
,Ballantines Finest,0.7,1,,13.45,Whisky,,,,,,
,Ballantines Finest,1,1,,17.05,Whisky,,,,,,
,Johnnie Walker Double Black,0.7,1,,24.60,Whisky,,,,,,
,Johnnie Walker Double Black,1,1,,32.80,Whisky,,,,,,
,Grants,0.2,1,,3.95,Whisky,,,,,,
,Grants,0.35,1,,6.65,Whisky,,,,,,
,Grants,0.7,1,,10.50,Whisky,,,,,,
,Grants,1,1,,13.95,Whisky,,,,,,
,Chivas Regal 12 yrs,0.35,1,,13.25,Whisky,,,,,,
,Chivas Regal 12 yrs,0.7,1,,20.90,Whisky,,,,,,
,Chivas Regal 12 yrs,1,1,,26.00,Whisky,,,,,,
,Glen Talloch,0.2,1,,4.00,Whisky,,,,,,
,Glen Talloch,0.35,1,,5.70,Whisky,,,,,,
,Glen Talloch,0.7,1,,10.10,Whisky,,,,,,
,Glen Talloch,1,1,,13.85,Whisky,,,,,,
,Glen Scanlan,0.2,1,,3.55,Whisky,,,,,,
,Glen Scanlan,0.35,1,,5.65,Whisky,,,,,,
,Glen Scanlan,0.7,1,,9.40,Whisky,,,,,,
,Glen Scanlan,1,1,,12.35,Whisky,,,,,,
,Justerini & Brooks,0.2,1,,4.55,Whisky,,,,,,
,Justerini & Brooks,0.35,1,,8.30,Whisky,,,,,,
,Justerini & Brooks,0.7,1,,11.60,Whisky,,,,,,
,Justerini & Brooks,1,1,,15.50,Whisky,,,,,,
,William Lawsons,0.7,1,,10.40,Whisky,,,,,,
,William Lawsons,1,1,,13.80,Whisky,,,,,,
,Jameson,0.35,1,,10.80,Whisky,,,,,,
,Jameson,0.7,1,,16.00,Whisky,,,,,,
,Jameson,1,1,,20.35,Whisky,,,,,,
